,Count of Amenities,bathrooms,bedrooms,fee,price,square_feet,costRange,allowedPets
0,0,1.0,1,0,2195.0,542,3,1
1,0,1.5,3,0,1250.0,1500,2,1
2,0,2.0,3,0,1395.0,1650,2,0
3,0,1.0,2,0,1600.0,820,3,1
4,0,1.0,1,0,975.0,624,1,1
5,0,1.5,2,0,1250.0,965,1,1
6,0,2.0,2,0,1600.0,1120,2,0
7,0,2.0,2,0,1300.0,947,3,1
8,0,1.0,2,0,795.0,600,2,1
9,0,2.0,2,0,2150.0,1005,3,0
10,0,2.5,3,0,1795.0,1522,2,0
12,0,2.0,2,0,2395.0,896,3,0
14,0,1.0,3,0,720.0,800,1,0
15,0,1.5,2,0,2000.0,872,3,1
16,0,1.0,1,0,729.0,800,2,1
17,0,1.0,1,0,1045.0,700,1,1
18,0,3.0,3,0,1800.0,1500,2,1
19,0,1.0,2,0,1250.0,435,3,1
20,0,1.0,0,0,1099.0,290,3,1
21,6,1.0,1,0,1060.0,650,2,0
22,2,1.0,1,0,1003.0,797,2,0
23,3,1.0,1,0,837.0,444,2,0
24,3,1.0,1,0,1020.0,692,2,0
25,2,1.0,1,0,985.0,693,2,0
26,3,1.0,1,0,1581.0,703,2,0
27,3,1.0,1,0,1090.0,665,2,0
29,3,1.0,1,0,962.0,532,2,0
30,0,2.0,2,0,1740.0,1600,3,1
31,0,1.0,1,0,1722.0,453,2,0
32,3,1.0,1,0,840.0,540,2,0
33,0,2.0,2,0,1590.0,1000,2,1
34,4,1.0,1,0,975.0,615,2,1
35,0,1.0,0,0,895.0,430,2,1
36,0,2.5,3,0,1695.0,1550,1,1
37,5,1.0,1,0,975.0,650,2,1
40,0,1.0,1,0,2300.0,668,3,0
41,1,1.0,2,0,2550.0,860,3,0
44,5,1.0,2,0,1225.0,720,3,0
45,12,1.0,1,0,1025.0,616,2,1
46,3,2.0,2,0,2548.0,1391,3,1
47,4,2.0,3,0,1299.0,1119,2,1
48,2,1.0,2,0,1549.0,431,3,1
49,5,1.0,2,0,1905.0,900,3,1
50,0,2.0,3,0,1199.0,1273,2,1
52,2,1.0,1,0,495.0,360,1,1
53,11,1.0,2,0,650.0,314,1,0
54,14,1.0,1,0,973.0,509,2,1
55,11,1.0,2,0,2095.0,390,3,1
56,1,1.0,1,0,750.0,568,1,1
57,7,1.0,1,0,1475.0,663,2,1
58,4,2.0,4,0,1650.0,1100,2,1
59,3,1.0,1,0,1200.0,840,1,1
60,0,1.0,1,0,720.0,511,2,0
61,1,1.0,2,0,1385.0,572,3,1
62,9,1.0,1,0,1007.0,735,2,1
63,4,2.0,3,0,1499.0,1544,2,1
64,10,1.0,1,0,671.0,685,1,1
65,8,1.0,2,0,1910.0,745,3,1
66,0,1.0,1,0,945.0,530,2,0
67,2,1.0,1,0,1164.0,755,3,1
68,10,1.0,2,0,777.0,563,2,1
69,1,1.0,1,0,1055.0,550,2,1
70,1,1.0,1,0,665.0,443,2,1
71,0,1.0,1,0,600.0,347,2,1
72,0,1.0,2,0,2000.0,1220,2,1
73,0,1.0,1,0,799.0,500,2,1
74,0,2.0,3,0,1400.0,1168,2,0
75,2,1.0,1,0,1915.0,760,3,1
76,0,1.0,1,0,645.0,675,1,0
77,0,1.0,1,0,650.0,560,1,1
78,0,2.5,3,0,1795.0,1656,3,1
79,0,1.0,1,0,2683.0,957,3,0
81,4,1.0,1,0,850.0,685,1,1
82,0,1.0,2,0,885.0,468,1,1
83,0,1.0,2,0,2395.0,900,3,1
85,0,1.0,1,0,1795.0,500,3,0
86,0,1.0,2,0,545.0,950,1,0
88,0,1.0,0,0,1195.0,300,3,0
89,0,1.0,2,0,595.0,792,1,0
91,0,2.0,3,0,1395.0,1550,1,0
92,0,1.0,1,0,1145.0,350,3,1
94,4,1.0,1,0,975.0,882,2,1
